platform,title,url,cover_url,author,published_at,like_count,comment_count,collect_count,share_count,hot_score,recent_hot_score,case_type,built_thing,tool_stack,target_audience,hook,content_value,evidence_level,monetization_signal,risk_flag,primary_category,category_label,product_forms,tools,motives,audience,confidence,description,source
xiaohongshu,纯干货！手把手教你免费用Claude Code！,https://www.xiaohongshu.com/explore/6a37ce950000000015025431,https://sns-na-i6.xhscdn.com/spectrum/1040g0k0321m6381cmu005n2lh07kgj8kj85rd48?imageView2/2/w/576/format/heif/q/58%7CimageMogr2/strip&redImage/frame/0/enhance/4&ap=1&sc=V_PRV&sign=3b72f969fcb8ed5149aae31fd1e82ea4&t=6a3ff4ae&origin=0,我是阿众,2026-06-22,8727,96,9290,918,44421.0,6345.86,工具测评,AI agent、内容/创作,Claude Code、Claude,开发者、设计/创作者,免费工具,,弱,,,dev_productivity,开发提效/编程技巧,AI Agent/工作流、课程/内容,Claude Code、Claude,,开发者、设计/创作者,0.57,如果你想用Claude Code，但不想花钱订阅官方套餐，或者根本不知道如何去订阅官方套餐，本期视频我将教你另外一种，可以用上Claude Code的方法，那就是把它接入第三方AI 模型，这样，你只需要花很少的钱，甚至不花钱就能用上顶级的AI Agent工具了！ #科大讯飞 #讯飞星辰MaaS #claudecode #vibecoding #AI工具 #AI #开源项目 #大模型 #个人开发者,csv:D:\Documents\热点库\TrendRadar\data\imports\redfox_xhs_vibecoding_2026-06-29.csv
xiaohongshu,24万人看过的2分钟0帧上手Codex接国产,https://www.xiaohongshu.com/explore/6a392fc500000000210167cb,http://sns-i14-ae.rednotecdn.com/spectrum/1040g34o321ngpu08n00g49bj17g7af8rapt6tk0?imageView2/2/w/576/format/heif/q/58|imageMogr2/strip&redImage/frame/0/enhance/4&ap=1&sc=V_PRV&sign=c1d9d3109d6e68c09853f890dab5a5f2&t=6a3ea7b9&src=A,蔡伊舟玩AI,2026-06-22,5261,108,10258,886,43663.0,6237.57,工具测评,内容/创作、自动化流程,Codex、DeepSeek,设计/创作者、零基础用户,几小时上线、完整流程、效率提升,可复刻,弱,,,learning_tutorial,教程/课程/方法论,课程/内容,Codex、DeepSeek,学习入门、工作提效、快速原型,设计/创作者、零基础用户,0.7,上个视频没了，再来一次 没学会的接着看 本期视频并不提供任何安装途径 只给新手讲解codex入门必备流程和概念，审核求放过 预告一下最近有更好用的工具 下一期马上会讲 新手更友好 windows版本更友好 不懂的可以在评论区或者🐷/✌️裙友好交流 一直想用 Codex 又一直没动手？ 这期视频解决所有借口💥 国内用上codex，不用魔法不用📱。 新手快速入门 ✅ 国产模型推荐（阿里云百炼/DeepSeek/小米 Mimo） ✅ CC Switch 一键配置切换 ✅ 全程零基础，边看边装 第一次让它帮你干完一件事，你会愣住的🫡 #红薯地经验指南 #HOWTO #ai #vibecoding #ai编程 #codex #howto入门codex #ai工具 #效率神器 #howto用好AI,csv:D:\Documents\热点库\TrendRadar\data\imports\redfox_xhs_vibecoding_2026-06-29.csv
xiaohongshu,Figma 设计稿→产品短片全自动（教程）,https://www.xiaohongshu.com/explore/6a35ee5e000000000702d389,http://sns-img-hw.xhscdn.net/1040g2sg321kap1qp7ke049ggaruvlbtaqtfe288?imageView2/2/w/1080/format/webp,设计师雪梨,2026-06-22,2036,15,1502,163,7921.0,1131.57,教程,App/软件、内容/创作、自动化流程,Claude、Claude Code,设计/创作者、创业者/独立开发者,,可复刻、有结果,中,,,learning_tutorial,教程/课程/方法论,课程/内容、AI Agent/工作流、App/软件,Claude、Claude Code,学习入门、表达创意,设计/创作者、创业者/独立开发者,0.62,把 Figma 文件链接丢给 Claude Code，连上 Figma MCP 之后，它直接读懂了我的咖啡 app——色调、界面结构、产品调性，全部自己分析。 然后它自己策划镜头创意、写视频脚本、调用skill生成视频。 我全程没切图、没写产品相关prompt、没手动操作任何一步。 这才是 AI 应该有的样子——不是工具，是会思考的协作者。 #figma教程 #figmamake #figma设计 #产品宣传片 #vibecoding #ai工具 #AI设计 #设计教程 #设计干货 @科技薯 @设计薯 #好视频扶持计划,csv:D:\Documents\热点库\TrendRadar\data\imports\redfox_xhs_vibecoding_2026-06-29.csv
xiaohongshu,howto整理人生相册｜把每一天变成“回忆日历”,https://www.xiaohongshu.com/explore/6a3de9b5000000001c02625e,http://sns-img-hw.xhscdn.net/1040g2sg321s4rgmenke05oc4uo040g1o70as2t8?imageView2/2/w/1080/format/webp,布鲁布鲁托Pluto,2026-06-26,1890,11,1027,80,5666.0,1888.67,真案例,App/软件、自动化流程,,,几小时上线、平台大赛,可复刻,强,,平台活动内容,learning_tutorial,教程/课程/方法论,App/软件,,,,0.7,每天一幅插画日记，让生活以影像化的方式有迹可循。 我用vivo X Fold6开发了这个“30天回忆月历”（Daily Memory Calendar）的制作流程： 在原子工作台里，AI生成不同画风的提示词，小V修图把照片变成各种趣味风格，再结合我vibecoding的排版APP搞定打印尺寸，最后贴上亚克力磁贴，冰箱上就会慢慢长出一整面会讲故事的回忆墙。 比起让照片沉睡在相册里，我更喜欢这种能摸到、能看见的仪式感。 真心推荐你尝试，让每一天都留下一幅“独一无二的小画”吧！ #XFold6新机测评 #vivoXFold6 #AI轻办公神器 #OriginOS6 #vivoXFold6新机评测 #vibecoding大赏 #手帐 #手帐日常 #记录自己 #howto整理人生相册 #howto用AI手搓APP @HOWTO薯,csv:D:\Documents\热点库\TrendRadar\data\imports\redfox_xhs_vibecoding_2026-06-29.csv
xiaohongshu,零代码做文游！任何故事都能改编成游戏～,https://www.xiaohongshu.com/explore/6a3a72f7000000001c0279c5,http://sns-img-hw.xhscdn.net/notes_pre_post/1040g3k8321oof7keno8g5oi8bc9k1uehp1qg7mg?imageView2/2/w/1080/format/webp,喵小望（游戏制作版）,2026-06-23,1865,26,1114,104,6169.0,1028.17,教程,游戏/互动、运营工具,,开发者、运营/营销,不会代码、完整流程,可复刻,中,,,learning_tutorial,教程/课程/方法论,小游戏/互动、课程/内容,,学习入门、表达创意,开发者、运营/营销,0.7,不用团队、不用写代码，一个人也能做视觉小说/文字游戏[派对R] 智谱GLM-5.2 1M超长上下文模型，完美解决长篇小说改编时容易丢失记忆的问题，轻松吃透几十万字完整原著，角色人设超稳定！ #我在小红书做游戏 #独立游戏开发 #游戏开发教程 #文字游戏 #视觉小说 #文游 #游戏开发者 #vibecoding #智谱 #GLM,csv:D:\Documents\热点库\TrendRadar\data\imports\redfox_xhs_vibecoding_2026-06-29.csv
xiaohongshu,0-1制作上线个人作品网站教程丨保姆级💓,https://www.xiaohongshu.com/explore/6a3a2801000000001c026c59,http://sns-webpic-qc.xhscdn.com/202606280003/07effda42d851c5cd03185749dccf0c5/1040g008321offctano005ogj05r8d525dja0qj0!nd_dft_wlteh_webp_3,陆78,2026-06-23,1559,56,1717,235,8870.0,1478.33,真案例,网站、App/软件、创意实验/好玩项目、自动化流程,AIGC、Codex、Cursor,开发者、设计/创作者、运营/营销,完整流程、免费工具、几小时上线,可复刻、有结果,强,,,dev_productivity,开发提效/编程技巧,App/软件、网站、课程/内容,AIGC、Codex、Cursor,学习入门、表达创意,开发者、设计/创作者、运营/营销,0.65,"🌟虽迟但到，分享下个人网站从制作到上线整体流程 ✍🏻 整体制作流程概览 1️⃣ 准备Ai编程工具（Codex Claudcode Cursor） 2️⃣ 跟Ai编程工具说你想要什么 3️⃣ 网站骨架出来后对整体架构、内容进行修改 4️⃣ 制作好的网站工程文件上传到GitHub 5️⃣ 去Vercel部署你的网站 6️⃣ 配置自己的专属域名 💓详细步骤如下💓 🖥 你需要提前准备 → 下载Ai编程工具（AI 帮你写代码的软件） → 注册 GitHub（存代码用，相当于代码的网盘） → 注册 Vercel（上线网站用）三个都免费 ✅ ⚠️ 以上注册都需要用到谷歌邮箱 📝 Step 1️⃣ · 告诉 AI 你想要什么 打开工具，直接用中文说：""帮我做一个个人作品集网站，黑色背景，顶部有导航，下面展示我的作品，先用卡片占位（骨架搭好再填充内容）""AI会搭好网站骨架✍🏻 👀 Step 2️⃣· 看骨架效果，哪里不对就直接说，不满意就截图发给AI，反复调整到满意为止 🖼 Step 3️⃣-1 · 骨架确定后把作品图片放进去，跟Ai说把某某文件夹里的图片放到网站的某个位置（位置可以截图发给Ai，它就可识别到哪个具体位置了） 📸 Step 3️⃣-2 ·图片都放置好后你的网站就有内容了，比如有一个全屏封面，下面的作品板块也有内容封面了，修改具体的细节就直接跟Ai工具自然语言描述就行 📀 Step 3️⃣-3 ·静态内容放好后就可以给板块加动态效果（可以让Ai给你建议） ☁️ Step 4️⃣ · 网站基本搭好后就可以传到 GitHub，代码就存到云上了，相当于把文件存进网盘 🚀 Step 5️⃣ · 去 Vercel 点一下部署 选择GitHub项目，点Deploy等两分钟，你的网站上线了 🎉 全世界都能访问的那种💥 🔄 以后要更新怎么办 GitHub和Vercel都有自动更新的能力，修改完后只要跟Ai工具说一句帮我推上线就行~ 💥 去做吧，你的作品值得被更多人看见 - #vibecoding #个人网站 #AI编程 #设计师 #作品集 #ai #作品集 #创意设计 #作品集网站 #AIGC #个人网站",csv:D:\Documents\热点库\TrendRadar\data\imports\redfox_xhs_vibecoding_2026-06-29.csv
xiaohongshu,Codex保姆级教程，40分钟纯干货！🤩,https://www.xiaohongshu.com/explore/6a3fc7fd000000000603040c,http://sns-img-hw.xhscdn.net/spectrum/1040g34o321tvc550701044pn55nvghse72t78o0?imageView2/2/w/1080/format/webp,大牙大,2026-06-27,1495,69,2979,431,14225.0,7112.5,真案例,AI agent、App/软件、内容/创作、运营工具、创意实验/好玩项目,Codex,开发者、设计/创作者、运营/营销、零基础用户,不会代码、免费工具、几小时上线,可复刻,强,,,learning_tutorial,教程/课程/方法论,课程/内容、AI Agent/工作流、App/软件,Codex,学习入门、获客/增长,开发者、设计/创作者、运营/营销、零基础用户,0.62,Codex有什么用？怎么用？ 这期视频我将自己4个月消耗了13亿Token的使用经验，浓缩为40分钟保姆级教程视频，带大家从第一次打开，到认识界面、管理电脑文件、安装软件、vibe coding、日常办公多个视频章节，手把手的教会你如何使用Codex！ Mac和Windows都通用，不会代码也能学。 - - - 🎬本期视频章节 00:38 ChatGPT和Codex的区别 01:46 如何下载安装Codex 02:23 免费账号也能免费用 02:53 Codex界面功能介绍 09:02 如何新建项目 10:39 用Codex管理文件 12:09 用Codex管理软件 13:19 用Codex vibe coding 15:06 如何使用计划模式 17:59 如何停止任务 18:31 AGENTS.md文件说明 22:25 vibe coding成果验收 25:03 用Codex做Word 28:48 预览功能精准提修改意见 29:42 用Codex做Excel 31:05 用Codex做PPT 31:57 用Codex生成图片 32:23 如何使用引导模式 34:14 如何同时处理多个不同任务 36:34 最后的总结 - #howto用好AI #ai #codex #codex教程 #AI教程 #AI用法 #vibecoding #数码好视频 #AI工具 #skill @科技薯 @数码薯,csv:D:\Documents\热点库\TrendRadar\data\imports\redfox_xhs_vibecoding_2026-06-29.csv
xiaohongshu,如何做出好看的HTML slides：0基础教程演示,https://www.xiaohongshu.com/explore/6a3ca9e20000000007022113,http://sns-img-hw.xhscdn.net/1040g2sg321qtpr237u7049mmbftcr46v6onftqg?imageView2/2/w/1080/format/webp,张咋啦,2026-06-25,1252,27,1246,211,6813.0,1703.25,教程,内容/创作、创意实验/好玩项目,,设计/创作者,免费工具、完整流程,可复刻,中,,,learning_tutorial,教程/课程/方法论,课程/内容,,学习入门、快速原型,设计/创作者,0.82,如何做出好看的HTML slides：0基础教程演示 Frontend Slides的完整使用方式demo、skill制作过程、如何制作一个skill，包括常见问题解答（如何插入图片、视频，如何编辑，如何分享） #howto手搓skill #howto实现一万种vibecoding #howto入门vibecoding #howto用AI抢救一切 #ppt #ppt模板 #html,csv:D:\Documents\热点库\TrendRadar\data\imports\redfox_xhs_vibecoding_2026-06-29.csv
xiaohongshu,2分钟学会！免费用AI把宠物做成电脑桌宠,https://www.xiaohongshu.com/explore/6a38ebcc000000000f006be3,http://sns-img-hw.xhscdn.net/spectrum/1040g34o321n90eao6u1g4a0q75jh45s59iuj55g?imageView2/2/w/1080/format/webp,Rico有三猫,2026-06-22,1229,24,857,53,4344.0,620.57,真案例,内容/创作、游戏/互动,,设计/创作者,几小时上线、免费工具,可复刻,强,,,learning_tutorial,教程/课程/方法论,课程/内容,,学习入门,设计/创作者,0.78,2分钟学会！免费用AI把宠物做成电脑桌宠 我把我家的猫猫，搬到了我的电脑桌面上，陪我24小时打工！ 他会发消息、会撒娇卖萌，还会整点报时，超级可爱！ 这个视频教会你做同款！把万物都能变成可爱桌宠！ #vibecoding #ai宠物 #ai教程 #howto用好AI #讯飞星辰MaaS #科大讯飞 #qwen #ai编程 #rico有三猫 #REDSkill,csv:D:\Documents\热点库\TrendRadar\data\imports\redfox_xhs_vibecoding_2026-06-29.csv
xiaohongshu,我用AI给自己VibeCoding了一个电子衣橱...,https://www.xiaohongshu.com/explore/6a38d03b000000002100bf5c,http://sns-img-hw.xhscdn.net/1040g008321n5ioa17e005pc9i43ogdu6gk577eg?imageView2/2/w/1080/format/webp,章炎炎,2026-06-22,1045,69,583,164,4451.0,635.86,真案例,App/软件、内容/创作、运营工具,Claude、Claude Code,设计/创作者、运营/营销,,有结果,强,,,dev_productivity,开发提效/编程技巧,App/软件、课程/内容,Claude、Claude Code,,设计/创作者、运营/营销,0.7,我用AI给自己VibeCoding了一个电子衣橱... 买回来的衣服塞进衣柜就忘？ [马甲R]我直接用Claude Code 花一下午，给我的vivo X Fold6开发了个电子衣橱APP！ [一R]3秒穿搭： 选见客户or上班or短视频拍摄or约会，AI自动从我的全部衣服里配好一套。 [二R]一机四开： 搭配OriginOS 6 Fold专属大屏系统，独家的原子工作台一屏多开App超好用，左边衣橱，右边刷小红书，看到好看的直接长按抠图拖进衣橱试穿，还能顺手发微信问朋友，窗口组合还能一键保存桌面！ #vivoXFold6美商极高 #vivoXFold6 #OriginOS6 #AI轻办公神器 #给我的AI员工们安排了工位,csv:D:\Documents\热点库\TrendRadar\data\imports\redfox_xhs_vibecoding_2026-06-29.csv
