platform,title,url,cover_url,author,published_at,like_count,comment_count,collect_count,share_count,hot_score,recent_hot_score,case_type,built_thing,tool_stack,target_audience,hook,content_value,evidence_level,monetization_signal,risk_flag,primary_category,category_label,product_forms,tools,motives,audience,confidence,description,source
douyin,你们一直催更的最简单的vibe coding教程来啦！！！ #vibecoding #编程 #个人开发者 #小游戏 #AI 这次别再看我聪明绝顶了好伐,https://www.douyin.com/video/7646356967723683112,,永垂不朽的高,2026-06-08,54,,,,54.0,7.71,教程,游戏/互动,,开发者,学习入门、表达创意,可复刻,中,,,creative_game_visual,创意可视化/小游戏,小游戏/互动、课程/内容,,学习入门、表达创意,开发者,0.7,06:00 54 你们一直催更的最简单的vibe coding教程来啦！！！ #vibecoding #编程 #个人开发者 #小游戏 #AI 这次别再看我聪明绝顶了好伐 @永垂不朽的高 1周前,csv:data\imports\douyin_vibecoding_2026-05-16_2026-06-15.csv
douyin,【Claude Code】大学生第一次vibecoding！ 花了两个晚上用claude code做了一个自动化脚本竟然跑通并盈利了！#vibecoding#claude #macbook #vibecoding大赏,https://www.douyin.com/video/7650726740561652352,,callmeifyougetlost,2026-06-13,6963,,,,6963.0,3481.5,真案例,自动化流程,Claude、Claude Code,学生/求职者,几小时上线、变现、平台大赛、效率提升、求职转行,有结果,强,盈利,平台活动内容,content_marketing,内容和营销创作,AI Agent/工作流,Claude、Claude Code,工作提效,学生/求职者,0.57,04:38 6963 【Claude Code】大学生第一次vibecoding！ 花了两个晚上用claude code做了一个自动化脚本竟然跑通并盈利了！#vibecoding#claude #macbook #vibecoding大赏 @callmeifyougetlost 2天前,csv:data\imports\douyin_vibecoding_2026-05-16_2026-06-15.csv
douyin,Vibe Coding 纯小白入门教程，做出你的第一个作品！#Vibecoding #claudecode #deepseek #非哥黑科技 #非哥工具箱,https://www.douyin.com/video/7642952947210481062,,非哥黑科技,2026-05-25,1589,,,,1589.0,75.67,教程,创意实验/好玩项目,Claude、Claude Code、DeepSeek,零基础用户,不会代码,可复刻,中,,,learning_tutorial,教程/课程/方法论,课程/内容,Claude、Claude Code、DeepSeek,学习入门,零基础用户,0.78,04:36 1589 Vibe Coding 纯小白入门教程，做出你的第一个作品！#Vibecoding #claudecode #deepseek #非哥黑科技 #非哥工具箱 @非哥黑科技 3周前,csv:data\imports\douyin_vibecoding_2026-05-16_2026-06-15.csv
douyin,我的vibe coding工作流 #vibecoding #ai #claude #codex #工作流 #vibecoding大赏,https://www.douyin.com/video/7646624256365397606,,叫我LetterGen啦,2026-06-08,3863,,,,3863.0,551.86,教程,自动化流程,Claude、Codex,,平台大赛、效率提升,可复刻,中,,平台活动内容,dev_productivity,开发提效/编程技巧,AI Agent/工作流,Claude、Codex,工作提效,,0.7,06:42 3863 我的vibe coding工作流 #vibecoding #ai #claude #codex #工作流 #vibecoding大赏 @叫我LetterGen啦 1周前,csv:data\imports\douyin_vibecoding_2026-05-16_2026-06-15.csv
douyin,不用写一行代码！2026最火的Vibe Coding，小白也 2026最火的开发方式——Vibe Coding（氛围编程），不用写一行代码、不懂技术，也能做产品。四步就能落地：说需求、AI生成、挑毛病、AI修改，搭配3类工具，普通人也能一人+AI，搞定以前7人团队的活，轻松实现一人公司。 附3条避坑铁律，非技术党也能快速上手，从零做出自己的小产品。 #VibeCoding #氛围编程 #零代码开发 #AI编程#真实生活分享计划 @DOU+小助手,https://www.douyin.com/video/7641921042349081770,,AI时代思考分享,2026-05-25,471,,,,471.0,22.43,真案例,,,创业者/独立开发者、零基础用户、开发者,不会代码、失败复盘,只有噱头、有结果,中,,信息密度低,dev_productivity,开发提效/编程技巧,,,快速原型,创业者/独立开发者、零基础用户、开发者,0.7,02:49 471 不用写一行代码！2026最火的Vibe Coding，小白也 2026最火的开发方式——Vibe Coding（氛围编程），不用写一行代码、不懂技术，也能做产品。四步就能落地：说需求、AI生成、挑毛病、AI修改，搭配3类工具，普通人也能一人+AI，搞定以前7人团队的活，轻松实现一人公司。 附3条避坑铁律，非技术党也能快速上手，从零做出自己的小产品。 #VibeCoding #氛围编程 #零代码开发 #AI编程#真实生活分享计划 @DOU+小助手 @AI时代思考分享 3周前,csv:data\imports\douyin_vibecoding_2026-05-16_2026-06-15.csv
douyin,VibeCoding大赏 | 小白写代码前必做的三件事！ 我作为新手小白vibe coding遇到了太多坑！ 💡这期先不急着写代码，而是跟着丁老师把开发前的 3 件事补上： ✅整理项目文件夹 ✅确定 MVP 和里程碑 ✅建 项目的Git 仓库 如果你也想用 AI 做一个自己的产品，这条可以当作跟练第一集。 #vibecoding大赏 #ai新星计划 #AI #vibecoding #codex,https://www.douyin.com/video/7645246579288460584,,珍妮丁丁说AI,2026-06-01,8166,,,,8166.0,583.29,真案例,SaaS MVP、创意实验/好玩项目,Codex,开发者、创业者/独立开发者、零基础用户,平台大赛、不会代码、失败复盘,有结果,强,,平台活动内容,dev_productivity,开发提效/编程技巧,,Codex,,开发者、创业者/独立开发者、零基础用户,0.7,08:32 8166 VibeCoding大赏 | 小白写代码前必做的三件事！ 我作为新手小白vibe coding遇到了太多坑！ 💡这期先不急着写代码，而是跟着丁老师把开发前的 3 件事补上： ✅整理项目文件夹 ✅确定 MVP 和里程碑 ✅建 项目的Git 仓库 如果你也想用 AI 做一个自己的产品，这条可以当作跟练第一集。 #vibecoding大赏 #ai新星计划 #AI #vibecoding #codex @珍妮丁丁说AI 2周前,csv:data\imports\douyin_vibecoding_2026-05-16_2026-06-15.csv
douyin,vibecoding最佳实践，大佬都在用的极简工作流 #ai #vibecoding #ai教学 #工作流 #vibecoding大赏,https://www.douyin.com/video/7647175251755984997,,Edward_ai,2026-06-08,3032,,,,3032.0,433.14,教程,自动化流程,,,平台大赛、效率提升,可复刻,中,,平台活动内容,workflow_automation,工作流和运营自动化,AI Agent/工作流,,工作提效,,0.95,01:43 3032 vibecoding最佳实践，大佬都在用的极简工作流 #ai #vibecoding #ai教学 #工作流 #vibecoding大赏 @Edward_ai 1周前,csv:data\imports\douyin_vibecoding_2026-05-16_2026-06-15.csv
douyin,Vibecoding变现：从想法到产品的必经之路 做Vibecoding想变现？手搓的工具不管是对外用还是展示，都得部署上线才行，来看看一个idea是怎么变成产品的～ #大模型 #ai新星计划 #vibecoding大赏 #AIagent #大模型实战,https://www.douyin.com/video/7649425941694261312,,可燃AI,2026-06-10,74,,,,74.0,14.8,真案例,AI agent,,创业者/独立开发者,完整流程、平台大赛、几小时上线、变现,有结果,强,变现,平台活动内容,product_build,做产品/工具,AI Agent/工作流,,赚钱/副业,创业者/独立开发者,0.65,01:23 74 Vibecoding变现：从想法到产品的必经之路 做Vibecoding想变现？手搓的工具不管是对外用还是展示，都得部署上线才行，来看看一个idea是怎么变成产品的～ #大模型 #ai新星计划 #vibecoding大赏 #AIagent #大模型实战 @可燃AI 5天前,csv:data\imports\douyin_vibecoding_2026-05-16_2026-06-15.csv
douyin,Vibecoding变高级的2个技巧+3个审美灵感库 0基础建站，聪明的学会借力提升vibecoding的前端审美～ 主打一个无AI味儿、丑拒！！！ 学会这套方法论，咱就不用从0到1自己哭哈哈的设计啦！#vibecoding #ai工具 #ui设计 #ai #网站设计,https://www.douyin.com/video/7642348668217068841,,HiHi小壮,2026-05-25,954,,,,954.0,45.43,教程,网站,,设计/创作者,完整流程,可复刻,中,,,learning_tutorial,教程/课程/方法论,网站,,快速原型,设计/创作者,0.75,02:11 954 Vibecoding变高级的2个技巧+3个审美灵感库 0基础建站，聪明的学会借力提升vibecoding的前端审美～ 主打一个无AI味儿、丑拒！！！ 学会这套方法论，咱就不用从0到1自己哭哈哈的设计啦！#vibecoding #ai工具 #ui设计 #ai #网站设计 @HiHi小壮 3周前,csv:data\imports\douyin_vibecoding_2026-05-16_2026-06-15.csv
douyin,Vibe coding饶过谁？美女怎么了？一样中招！ #vibecoding #数字人 #ai编程 @洋芋酱AIgen 真人真事，绝对雷同,https://www.douyin.com/video/7649346843272416552,,Aiwood爱屋研究室,2026-06-10,3143,,,,3143.0,628.6,教程,设计系统/视觉,,,几小时上线,只有噱头,中,,信息密度低,dev_productivity,开发提效/编程技巧,,,,,0.95,合集 01:58 3143 Vibe coding饶过谁？美女怎么了？一样中招！ #vibecoding #数字人 #ai编程 @洋芋酱AIgen 真人真事，绝对雷同 @Aiwood爱屋研究室 5天前,csv:data\imports\douyin_vibecoding_2026-05-16_2026-06-15.csv
